Datetime,Open,High,Low,Close,Adj Close,Volume
2022-08-09 23:00:00+00:00,135.10699462890625,135.19900512695312,135.07000732421875,135.19000244140625,135.19000244140625,0.0
2022-08-10 00:00:00+00:00,135.197998046875,135.30299377441406,135.0800018310547,135.21299743652344,135.21299743652344,0.0
2022-08-10 01:00:00+00:00,135.21200561523438,135.2429962158203,135.02000427246094,135.0590057373047,135.0590057373047,0.0
2022-08-10 02:00:00+00:00,135.0570068359375,135.10400390625,134.9499969482422,134.99200439453125,134.99200439453125,0.0
2022-08-10 03:00:00+00:00,134.9969940185547,135.04200744628906,134.88999938964844,134.9510040283203,134.9510040283203,0.0
2022-08-10 04:00:00+00:00,134.9459991455078,135.00599670410156,134.86000061035156,134.98699951171875,134.98699951171875,0.0
2022-08-10 05:00:00+00:00,134.98699951171875,135.05999755859375,134.89999389648438,134.9969940185547,134.9969940185547,0.0
2022-08-10 06:00:00+00:00,134.98599243164062,135.09800720214844,134.9600067138672,135.0449981689453,135.0449981689453,0.0
2022-08-10 07:00:00+00:00,135.04600524902344,135.08700561523438,134.8800048828125,134.9459991455078,134.9459991455078,0.0
2022-08-10 08:00:00+00:00,134.9499969482422,135.05299377441406,134.88999938964844,134.9600067138672,134.9600067138672,0.0
2022-08-10 09:00:00+00:00,134.96800231933594,134.98899841308594,134.80999755859375,134.93899536132812,134.93899536132812,0.0
2022-08-10 10:00:00+00:00,134.93800354003906,135.01199340820312,134.8800048828125,134.97500610351562,134.97500610351562,0.0
2022-08-10 11:00:00+00:00,134.9759979248047,135.03599548339844,134.77000427246094,134.81399536132812,134.81399536132812,0.0
2022-08-10 12:00:00+00:00,134.81199645996094,135.08999633789062,132.6649932861328,133.14100646972656,133.14100646972656,0.0
2022-08-10 13:00:00+00:00,133.14199829101562,133.32000732421875,132.5500030517578,132.58799743652344,132.58799743652344,0.0
2022-08-10 14:00:00+00:00,132.58599853515625,132.65699768066406,132.0,132.0959930419922,132.0959930419922,0.0
2022-08-10 15:00:00+00:00,132.09500122070312,132.67999267578125,132.02999877929688,132.5749969482422,132.5749969482422,0.0
2022-08-10 16:00:00+00:00,132.56900024414062,132.6750030517578,132.4499969482422,132.52000427246094,132.52000427246094,0.0
2022-08-10 17:00:00+00:00,132.54299926757812,132.61399841308594,132.32000732421875,132.6060028076172,132.6060028076172,0.0
2022-08-10 18:00:00+00:00,132.6009979248047,133.072998046875,132.5500030517578,132.86700439453125,132.86700439453125,0.0
2022-08-10 19:00:00+00:00,132.8679962158203,133.031005859375,132.83999633789062,132.91000366210938,132.91000366210938,0.0
2022-08-10 20:00:00+00:00,132.91200256347656,132.9530029296875,132.83999633789062,132.87600708007812,132.87600708007812,0.0
2022-08-10 21:00:00+00:00,132.86700439453125,132.9499969482422,132.83599853515625,132.8699951171875,132.8699951171875,0.0
2022-08-10 22:00:00+00:00,132.86300659179688,132.95599365234375,132.6999969482422,132.8470001220703,132.8470001220703,0.0
2022-08-10 23:00:00+00:00,132.8489990234375,132.91299438476562,132.74000549316406,132.80499267578125,132.80499267578125,0.0
2022-08-11 00:00:00+00:00,132.80999755859375,132.8979949951172,132.5800018310547,132.76300048828125,132.76300048828125,0.0
2022-08-11 01:00:00+00:00,132.76800537109375,133.18600463867188,132.74000549316406,133.11700439453125,133.11700439453125,0.0
2022-08-11 02:00:00+00:00,133.11700439453125,133.31300354003906,133.02999877929688,133.25,133.25,0.0
2022-08-11 03:00:00+00:00,133.24899291992188,133.28399658203125,133.08999633789062,133.16099548339844,133.16099548339844,0.0
2022-08-11 04:00:00+00:00,133.15699768066406,133.19500732421875,133.0,133.12899780273438,133.12899780273438,0.0
2022-08-11 05:00:00+00:00,133.1280059814453,133.19200134277344,133.07000732421875,133.16200256347656,133.16200256347656,0.0
2022-08-11 06:00:00+00:00,133.16299438476562,133.18099975585938,132.57000732421875,132.67999267578125,132.67999267578125,0.0
2022-08-11 07:00:00+00:00,132.67999267578125,132.7449951171875,132.39999389648438,132.42999267578125,132.42999267578125,0.0
2022-08-11 08:00:00+00:00,132.43499755859375,132.6750030517578,132.41000366210938,132.51199340820312,132.51199340820312,0.0
